,id,text
0,12,"  DCC is a waxy white solid with a sweet odor, and its primary use is in artificial peptide synthesis. Its C-N=C=N-C core is linear, and it has idealized C2 symmetry. The molecule shows characteristic IR spectroscopic signature at 2117 cm-1 and 15N NMR spectrum shows a characteristic shift of 275 ppm upfield of nitric acid."
0,13,"  Cervandonite, a rare arsenosilicate mineral, was first described by Buhler Armbruster in 1988. It was named after the location where it was first discovered, Pizzo Cervandone, Italy, in the Central Alps."
0,14,"  Clostebol acetate ointment has ophthalmological and dermatological uses, making it a valuable medication in certain medical contexts."
0,15,"TdT has several isoforms in mice, bovines, and humans, which differ in their length and enzymatic activity. The longer isoform, TdTL, has exonuclease activity and can modulate the catalytic activity of TdTS in vivo. The shorter isoform, TdTS, is responsible for elongation during V(D)J recombination."
0,16,"  The shape of a hydrograph can have a significant impact on lowland flooding potential. Factors such as timing and duration of rainfall events, antecedent moisture conditions, and watershed shape all play a role in determining the hydrograph shape and subsequent flooding."
0,17,"  The main distinguishing feature between p90Rsk and p70Rsk is that p90Rsk contains two non-identical kinase domains, while p70Rsk contains only one."
0,18,"  TNT has been used to successfully transfect fibroblasts into neuron-like cells and rescue ischemia in mice models. It has also been used to induce endothelial cells in an ischemic mouse limb, establishing new vasculature."
0,19," Erythromycin is an antibiotic used to treat various bacterial infections, including respiratory tract infections, skin infections, chlamydia infections, pelvic inflammatory disease, and syphilis. It may also be used during pregnancy to prevent Group B streptococcal infection in the newborn."
0,20,"The Pythagorean tuning system was widely used in ancient Greece and was also used in China. However, it fell out of favor in the 16th century with the development of meantone temperament. The system is still used today in some forms of classical music, particularly in unaccompanied vocal music."
0,21,"  Plastoquinone plays a crucial role in photosynthesis, acting as a mobile electron carrier through the membrane of the thylakoid. It accepts electrons from photosystem II and transfers them to plastocyanin, generating an electrochemical gradient used to produce ATP."
0,22,"  Techniques like geomorphing and LOD blending can reduce visual popping significantly by making the transitions more gradual. Geomorphing adds approximations of the 3D model as intermediate steps between two LODs, while LOD blending displays both LODs simultaneously and blends them together over a small transition period."
0,23,"  The diagnosis of genitopatellar syndrome is based on physical features and molecular genetic testing. A medical genetics consultation, evaluation by a developmental specialist, and other tests are used to evaluate the individual's condition."
0,24," Polymer electrolytes have various applications, including batteries, fuel cells, and capacitors. They offer advantages such as flexibility, processability, robustness, and safety, making them an attractive alternative to traditional electrolytes."
0,25,"  C286 has good oral bioavailability, is reasonably water-soluble, and has sound permeability. It is not a P-glycoprotein substrate and shows high stability in human microsomes. C286 was also demonstrated to be able to penetrate the CNS and showed no significant inhibition of five cytochrome P450 enzymes."
0,26,"  BARF salts with hexakis(acetonitrile)metal(II) cations can be produced by salt metathesis reactions. These salts are known for vanadium, chromium, manganese, iron, cobalt, and nickel."
0,27,"  Pyruvate synthase, also known as pyruvate:ferredoxin oxidoreductase (PFOR), is an enzyme that catalyzes the interconversion of pyruvate and acetyl-CoA. It plays a crucial role in various metabolic pathways, including pyruvate metabolism and the Wood-Ljungdahl pathway."
0,28,  Semaphorin 7A (SEMA7A) is a membrane-bound protein that associates with cell surfaces via a glycosylphosphatidylinositol (GPI) linkage. It is also known as the John-Milton-Hagen (JMH) blood group antigen and is expressed on activated lymphocytes and erythrocytes.
0,29,"  Mutations in the ACAT1 gene lead to ketothiolase deficiency, a disorder characterized by an increased amount of cholesterol compounds and impaired metabolism of isoleucine amino acid. The deficiency presents as ketosis, acidosis, and hypoglycemia, and can be diagnosed through GC-MS and quantitative amino acid analysis in the urine. The disease is managed by restricting diet and using compounds to dispose of toxic metabolites or increase enzyme activity."
0,30,"  Mollifiers have various applications in mathematics, including the proof of properties valid for smooth functions being valid in nonsmooth situations, the definition of the product of distributions, and the proof of ""weak=strong"" theorems for differential operators."
0,31,"  The provocation defense may be raised to mitigate murder to voluntary manslaughter. In the United States, jurisdictions vary on what counts as adequate provocation, but courts have moved on to less restrictive rules that look at whether the provocation was of such a nature that it would cause an ordinary person to enter a heightened state of passion and lose their self-control."
0,32,"  Nvidia OptiX is a high-level API that encapsulates the entire algorithm of ray tracing, allowing it to execute the larger algorithm without application-side changes, and is part of the Nvidia RTX platform that also includes APIs for DirectX, Vulkan, and CUDA."
0,33,"  Several mechanisms of resistance to gemtuzumab ozogamicin have been identified, including the development of antibodies against the drug and the overexpression of CD33 on cancer cells."
0,34," The apoplast plays a crucial role in plant defense against pathogens and pests. It provides a site for cell-to-cell communication and is involved in the regulation of hormone signaling pathways, which can trigger defense responses."
0,35,"  Moxonidine has been shown to have no teratogenic, mutagenic, or carcinogenic potential in routine toxicology studies. It has also not been found to have serious adverse effects on organs or organ systems, and is not expected to have deleterious effects on perinatal or postnatal growth and development."
0,36,"  Some amplifiers, particularly vintage ones, have damping controls that allow users to adjust the damping factor to suit their preferences. This can be useful for enhancing the bass response of a loudspeaker, but it can also introduce distortion of the input signal."
0,37,"  The 2k1 polytope is a uniform polytope constructed from the En Coxeter group, with a single ring on the end of the 2-node sequence. It can be named by an extended Schläfli symbol {3,3,3k,1}."
0,38,"There are several types of magnetic susceptibility, including volume susceptibility, molar susceptibility, and massic susceptibility. Each type measures the degree of magnetization of a material in response to an applied magnetic field, but with different units and applications."
0,39,"  The vis-viva equation is also related to the conservation of angular momentum, which is a fundamental principle in physics. The equation shows that the specific angular momentum of an orbiting body is constant throughout its orbit, and can be used to derive the kinetic energy and potential energy of the body."
0,40,  Proximity labeling is a laboratory technique that labels biomolecules proximal to a protein of interest by creating a gene fusion between the protein and an engineered labeling enzyme. This method has been used to identify protein-protein interaction partners and study the components of novel cellular structures.
0,41,"  The 4-6 duoprism has cells that exist in some uniform 5-polytopes in the B5 family, with specific properties and structures."
0,42,"  Electromagnetic fields are capable of accelerating particles to enormous energies. For example, a strong electric field can accelerate a proton from rest to the maximum energy attained by protons at the Large Hadron Collider in only approximately 5 micrometers."
0,43,"  The RMF core allows for storing, writing, validating, and manipulating ReqIF files programmatically using EMF. ProR enables interactive creation, inspection, and editing of ReqIF models, presenting requirements in configurable tables with links between requirements."
0,44,"  Proppants are solid materials used to keep induced hydraulic fractures open. They can be natural sand, treated sand, or man-made ceramic materials. Proppants have different properties such as viscosity, pH, and rheological factors, which affect their performance."
0,45,"  Nanolattices are synthetic porous materials consisting of nanometer-size members patterned into an ordered lattice structure. They redefine the limits of material property space, exhibiting ultrahigh strength, damage tolerance, and high stiffness despite being composed of 50-99% air."
0,46,"  The look-and-say sequence grows indefinitely, with each term containing only digits 1, 2, and 3, unless the seed number contains other digits. The sequence eventually splits into ""atomic elements"" that never interact with their neighbors."
0,47,"  5-MeO-AMT's structural similarity to amphetamines may cause sympathomimetic effects, while inhibition of monoamine reuptake may also be involved in its mechanisms of action."
0,48,"  Minisatellites occur at over 1,000 locations in the human genome and are notable for their high mutation rate and diversity. They are found mainly in the sub-telomeric region of chromosomes and are involved in the regulation of gene expression."
0,49,"  In algebra, a property is said to be local if it can be detected from a small neighborhood of an object, such as a subgroup or a ring. For example, being a flat module over a commutative ring is a local property, while being a free module is not."
0,50,"  Trithioacetone is a stable compound, unlike its unstable parent compound thioacetone. Its analogous trioxane compound, 2,2,4,4,6,6-hexamethyl-1,3,5-trioxane, is also unstable."
0,51,"  Erasable paper has been mentioned in several works of fiction, including Stephen King's novel Misery and Sylvia Plath's novel The Bell Jar. In these works, the paper is often used as a symbol of the impermanence of writing or as a way to highlight the mistakes of the characters."
0,52,"  A mutation in the CYP11B1 gene is associated with congenital adrenal hyperplasia due to 11β-hydroxylase deficiency, a condition characterized by excessive production of cortisol and other steroids."
0,53," Imaging modalities such as ultrasound, CT, and MRI are used to diagnose and monitor liver tumors. Ultrasound is often the first imaging study used to detect liver tumors, while CT and MRI are used to provide more detailed information about the tumor's size, shape, and location. Contrast-enhanced ultrasound (CEUS) and Doppler ultrasonography can also be used to provide additional information about the tumor's blood supply and vasculature."
0,54,"  Recent advances in MFM include the development of new tips and magnetic coatings, improved scanning systems, and the ability to operate at vacuum. MFM has been applied to image various magnetic structures, including domain walls, closure domains, and recorded magnetic bits."
0,55,"  Trismus can be prevented in some cases by taking steps to prevent infections and trauma. This may involve practicing good oral hygiene, avoiding certain medications, and taking precautions to prevent injury to the jaw and surrounding tissues. Additionally, primary immunization against tetanus can help prevent trismus caused by this condition."
0,56,"  The following families are part of the Hystricomorpha clade: Ctenodactylidae, Diatomyidae, Hystricognathiformes, Hystricidae, Phiomorpha, Petromuridae, Thryonomyidae, Bathyergidae, Caviomorpha, Erethizontoidea, Cavioidea, Octodontoidea, Chinchilloidea."
0,57,"  When cultured on agar plates, Paenibacillus tylopili forms whitish, translucent, and glossy colonies that are round and slightly raised off the surface, measuring 1–2 mm in diameter."
0,58,"Pregnant women are at a higher risk of developing complications from H1N1 infection due to hormonal changes, physical changes, and changes to their immune system. The Centers for Disease Control and Prevention (CDC) recommends that pregnant women be vaccinated against H1N1 to prevent infection. If a pregnant woman becomes infected, antiviral medication such as oseltamivir or zanamivir may be prescribed to treat the infection."
0,59,"  The library is optimized for encoding on embedded devices and mobile phones, supporting sample rates up to 96 kHz and up to eight channels. It also includes features like xHE-AAC, AAC-ELD v2, and MPEG-D DRC for adaptive bitrate delivery and dynamic range control."
0,60,"Vertebrates are animals that have a backbone. They are divided into several classes, including Mammalia, Aves, Reptilia, Amphibia, and Pisces. The classes are further divided into orders, families, and genera. For example, the class Mammalia includes orders such as Carnivora, Primates, and Rodentia."
0,61,  Dimethylphenylphosphine is prepared by reacting methylmagnesium halide with dichlorophenylphosphine. The resulting phosphine is then purified by distillation under reduced pressure.
0,62,"  Mo(N2)2(dppe)2 serves as a model for biological nitrogen fixation, as the terminal nitrogen is susceptible to electrophilic attack, allowing for the fixation of nitrogen to ammonia. This complex can also be used to form carbon-nitrogen bonds and can be silylated."
0,63,"  Rubbing alcohol is flammable, and its use should be limited to topical antiseptic purposes only. Product labels warn against internal use, consumption, or inhalation, and recommend use in a well-ventilated area. Poisoning can occur from ingestion, inhalation, or absorption."
0,64,"  While ZMODEM has many advantages, it has some limitations, such as its inability to transfer files larger than 4GB. Additionally, some implementations of ZMODEM have been modified to improve performance or add new features, such as compression and support for long filenames."
0,65,"  Far-sightedness can have rare complications, such as strabismus and amblyopia. Additionally, hypermetropic patients with short axial length are at higher risk of developing primary angle closure glaucoma."
0,66," In plants, 2-phosphoglycolate has a potentially toxic effect, inhibiting several metabolic pathways. Its degradation during photorespiration is crucial for cellular homeostasis. Additionally, 2-PG plays a role in mammalian metabolism, although its source remains incompletely understood. It is thought to be produced through the processing of DNA strand breaks, but other processes may also yield 2-PG."
0,67,"  Montana's geology dates back to the Archean era, with ancient rocks forming the basement of the state. Over time, sedimentary rocks were deposited, including Paleozoic, Mesozoic, and Cenozoic rocks, which have been shaped by tectonic events and erosion."
0,68,"Glutathione reductase plays a crucial role in protecting plant cells from reactive oxygen species. In plants, reduced glutathione participates in the glutathione-ascorbate cycle and contributes to the response to abiotic stress. The enzyme's activity has been shown to be modulated in response to metals, metalloids, salinity, drought, UV radiation, and heat-induced stress."
0,69," Soil-surface roughness (SSR) refers to the vertical variations present in the micro- and macro-relief of a soil surface. SSR has been shown to be influenced by rainfall and tillage, and can affect the erosion process. Understanding SSR is essential for predicting soil erosion and developing effective conservation strategies."
0,70,"  The molecule has a hexa-coordinated sulfur atom with a link to nitrogen. The bond between sulfur and nitrogen is weak, with a dissociation energy of 50 kcal/mol. The infrared spectrum contains strong absorption bands due to the bonds with fluorine."
0,71,  There are two types of thiaminase: Thiamine pyridinylase (Thiaminase I) and Aminopyrimidine aminohydrolase (Thiaminase II). Each type has different properties and functions.
0,72,"HTLV-1 has an immunostimulating effect that becomes immunosuppressive over time. The virus activates Th1 cells, leading to a proliferation of Th1 cells and an overproduction of Th1-related cytokines. This can lead to a reduction in the ability of the infected host to mount an adequate immune response to invading organisms."
0,73,  TPTL is an extension of Linear Temporal Logic (LTL) that introduces variables to measure time between events. This allows for more precise statements about the timing of events.
0,74,"Eta Ophiuchi is a binary system with a close and highly elliptical orbit, making planetary formation unlikely. Each star is an A class main sequence star, but as a binary pair, they are unusual."
0,75,"  EH3 has a unique distribution in mouse tissues, with high expression in skin, lung, tongue, esophagus, and stomach, and low expression in liver, kidney, testis, ovary, and brain."
0,76,"  WD 2359-434 is approximately 26.68 light-years away from Earth, making it one of the closest white dwarfs to our planet. Its distance was estimated using trigonometric parallax from the CTIOPI program."
0,77,"  A normal function in axiomatic set theory is a function that is continuous and strictly monotonically increasing. It is equivalent to two conditions: for every limit ordinal, the function's value is the supremum of its values on the previous ordinals, and for all ordinals, the function's value is strictly increasing."
0,78," The catabolite activator protein (CAP) is a protein that binds to the lac promoter and enhances the binding of RNA polymerase to the promoter. When glucose is present, the CAP-CAMP complex binds to the promoter, increasing the expression of the lac genes. This ensures that the genes are only expressed when glucose is not available."
0,79,"  Tonsil stones may produce no symptoms or be associated with bad breath, which can be accompanied by a metallic taste, throat closing or tightening, coughing fits, and choking. Diagnosis is usually made upon inspection, and tonsilloliths are difficult to diagnose in the absence of clear manifestations."
0,80," Nociception has been documented in non-mammalian animals, including fish and invertebrates such as leeches, nematode worms, and sea slugs. Although their pathways and relationships to the central nervous system may differ from those of mammals, nociceptive neurons in non-mammals often fire in response to similar stimuli, such as high temperature, low pH, and tissue damage."
0,81,"  Thallium(I) iodide can be formed through metathesis of soluble thallium salts with iodide ions. It also forms as a by-product in thallium-promoted iodination of phenols. The compound has an unusual orthorhombic structure, which is believed to be caused by favourable thallium-thallium interactions."
0,82," Aspergillus species are important in various aspects of human life, including food production, medicine, and ecology. They are used as a source of enzymes, antibiotics, and other bioactive compounds, and they play a key role in decomposing organic matter and recycling nutrients in ecosystems."
0,83,"  The NBP35 gene is conserved in archaea, bacteria, metazoa, fungi, and other eukaryotes, with considerable divergence from yeast. It is involved in nuclear Fe/S protein biogenesis and cytosolic iron-sulfur protein assembly."
0,84,"  GBED has been linked to the foundation Quarter Horse and affects American Quarter Horses and American Paint Horses. It has significant economic and welfare implications for the horse breeding industry, as affected foals are often aborted or stillborn, and those that survive have a short lifespan."
0,85,"  Triptorelin is used as part of androgen deprivation therapy to treat prostate cancer. It is a gonadorelin analogue that binds to receptors in the pituitary gland, stimulating secretion of gonadotropins, which in turn leads to the inhibition of androgen production."
0,86,"  Uridine is found in various foods, including goat's and sheep's milk, sugarcane extract, tomatoes, brewer's yeast, beer, broccoli, and organ meats. However, the bioavailability of uridine from these sources is limited, and high levels of purines in blood may be a concern."
0,87,"  Examples of hidden states of matter include the photoinduced state in TTF-CA, which turns from neutral to ionic species, and the persistent state in vanadates and manganite materials, which leads to filamentary paths of a modified charge ordered phase."
0,88,"  The linear derivative of an affine morphism defines a unique linear connection on a vector bundle, and every vector bundle is an affine bundle, making every linear connection an affine connection."
0,89,"  The supergalactic plane is more or less perpendicular to the plane of the Milky Way, with an angle of 84.5 degrees. It runs through various constellations, including Cassiopeia, Camelopardalis, and Ursa Major."
0,90,"  DCC is a potent allergen and sensitizer, and handling it requires caution. Skin rashes and other allergic reactions have been reported, and it is essential to take proper safety precautions when working with this compound."
0,91,"  TEDC2 is highly expressed in the testis, EBV-transformed lymphocytes, and other tissues, and its expression is regulated by conserved transcription factor binding sites, including those for ZKSCAN3, MZF1, and P53."
0,92,"  Haplogroup M8 is found at its highest frequency in indigenous populations of East Siberia, including the Evenk and Yukaghir. It is also common among the Yakut, Tuvan, and Northern Han Chinese from Liaoning."
0,93,"  Adenovirus uses ribosome shunting during the expression of late mRNAs. The 5' tripartite leader of late adenovirus mRNAs confers preferential translation by reducing the requirement for the eIF-4F complex, allowing for shunting to occur."
0,94,"  Protein array detection methods must give a high signal and a low background. The most common method is fluorescence labeling, but label-free detection methods such as surface plasmon resonance and carbon nanotube sensors are also available. These methods offer promise for future high-throughput protein interaction detection."
0,95," Phosphoglycerate mutase exists as a dimer of two identical or closely related subunits and is found in organisms from yeast to humans. The enzyme is highly conserved and has a small positive Gibbs free energy, making it a reversible reaction."
0,96,"  Since 2018, several U.S. states have passed laws to abolish seasonal changes and adopt permanent DST, but these laws require approval from the federal government. States may choose whether to observe DST or not, but must follow the national schedule if they do observe it."
0,97," SDH is a widely distributed enzyme found in yeast, bacteria, and mammalian hepatocytes. The enzyme has one substrate, L-serine, and two products, pyruvate and ammonia, and uses one cofactor, pyridoxal phosphate. The main role of SDH is to create pyruvate that can be converted into free glucose."
0,98,"  There are counterexamples to the property of second-countability, such as the long line, which is not second-countable but is first-countable, and the quotient space obtained from the countable union of intervals, which is not second-countable despite being second-countable as a whole."
0,99,"  The Hamilton-Jacobi-Bellman (HJB) equation is a fundamental concept in optimal control theory, providing a necessary and sufficient condition for optimality of a control with respect to a loss function. It is a nonlinear partial differential equation in the value function, which can be used to obtain the optimal control."
0,100,"  A recent study discovered that a mutation in the TNPO3 gene, which causes type 1F limb-girdle muscular dystrophy, also provides innate resistance to HIV-1. This mutation blocks the entry of HIV into infected cells, making it difficult for the virus to establish an infection."
0,101," Floral scent, also known as aroma, fragrance, or perfume, is composed of volatile organic compounds (VOCs) emitted by floral tissue. Its primary functions are to deter herbivorous and florivorous insects and to attract pollinators, making it a crucial communication channel in plant-pollinator interactions."
0,102,"  Similar drawing processes are applied in glassblowing and in making glass and plastic optical fiber. Plastic drawing is used to manufacture plastic fibers, and involves extruding the polymer melt through pores of a spinneret and then drawing the filaments to align the fibers further."
0,103,"  An element x of a group G is a non-generator if every set S containing x that generates G still generates G when x is removed. The set of all non-generators forms a subgroup of G, called the Frattini subgroup."
0,104,"  Smr7C sRNA was first discovered in the intergenic regions of the Sinorhizobium meliloti 1021 genome. Northern hybridization experiments detected two RNA species expressed from the smr7C locus, which accumulated differentially in free-living and endosymbiotic bacteria."
0,105,  There is a bijective correspondence between closed left ideals and hereditary C*-subalgebras of a C*-algebra. This correspondence shows that every closed ideal is a hereditary C*-subalgebra and that a hereditary C*-subalgebra of a simple C*-algebra is also simple.
0,106,"  Cytochrome P450 reductase (POR) is a membrane-bound enzyme that plays a crucial role in electron transfer from NADPH to cytochrome P450 and other heme proteins in the endoplasmic reticulum of eukaryotic cells. Its disruption leads to devastating consequences, including embryonic lethality and diminished capacity for hepatic drug metabolism."
0,107,  2MASS 1114−2618 is a nearby brown dwarf of spectral class T7.5 located in the constellation Hydra at approximately 18 light-years from Earth. It was discovered in 2005 and has been studied further to determine its distance and proper motion.
0,108,"  The Worm-Like Chain (WLC) model is a continuous version of the Kratky-Porod model, used to describe semi-flexible polymers with persistence length within a few orders of magnitude of the polymer length. It envisions a continuously flexible isotropic rod with cooperativity between segments."
0,109,"  Surface brightness cannot be calculated by simple division of magnitude by area. Instead, it is calculated using a specific formula that takes into account the total or integrated magnitude of the object and its visual area."
0,110,"  LPP3 is a cell-surface glycoprotein that hydrolyzes extracellular lysophosphatidic acid (LPA) and short-chain phosphatidic acid. Its function allows it to regulate vascular and embryonic development by inhibiting LPA signaling, which is associated with various human diseases. LPP3 expression is regulated by microRNA-92a and transcription factor KLF2."
0,111,"In liquids, the speed of sound is given by the equation c = sqrt(K/ρ), where K is the bulk modulus and ρ is the density. The speed of sound in water is approximately 1,482 meters per second at 20°C, while in seawater, it depends on temperature, salinity, and pressure."
0,112,"  Phosphatidylinositol 4-kinase beta (PI4KB) is hijacked by positive-sense single-stranded RNA viruses, including picornaviruses, to generate PI4P-enriched organelles called membranous webs. These organelles are used as platforms for viral replication within the host cell."
0,113,  The opioid excess theory proposes that autism is caused by a metabolic disorder in which opioid peptides produced from gluten and casein pass through an abnormally permeable intestinal membrane and affect neurotransmission in the brain.
0,114,"  Bromophenol blue is structurally related to phenolphthalein, a popular acid-base indicator."
0,115,"  The silver ratio is connected to the square root of 2, Pell numbers, octagons, and square triangular numbers. It is also related to the golden ratio and has similar properties."
0,116,"  The connection between Tsallis statistics and Hagedorn's theory has been established through the concept of thermofractals, showing that non-extensivity can emerge from a fractal structure, and enabling the recovery of good agreement between calculation and experiment at high energies."
0,117,"  As of October 31, 2016, 2C-T-21 is a controlled substance in Canada, indicating the country's efforts to regulate the substance's use and distribution."
0,118,  Picard-Lefschetz theory is a mathematical framework that studies the topology of complex manifolds by analyzing the critical points of holomorphic functions on the manifold. It was introduced by Émile Picard and later extended to higher dimensions.
0,119,"  The GARS-AIRS-GART gene is located on chromosome 21 and has been linked to Down Syndrome, a genetic disorder characterized by mental retardation and physical abnormalities. Studies have shown that GARS is expressed for longer in individuals with Down Syndrome than in unaffected individuals, suggesting a possible role in the development of the disorder."
0,120, AutoLISP was introduced in AutoCAD Version 2.18 in January 1986 and continued to be enhanced until release 13 in February 1995. Its development was later neglected in favor of more fashionable development environments.
0,121," The ECDSA signature generation algorithm involves several steps, including hashing the message, calculating a random integer, and calculating the curve point. The algorithm also requires the use of a base point on the curve and the multiplicative order of the point. The signature is a pair of integers that can be used to verify the authenticity of the message."
0,122,"  Tetrathionate serves as a terminal electron acceptor for Salmonella enterica serotype Typhimurium, aiding in its growth. This process occurs in the small intestines of mammals, where thiosulfate is oxidized to form tetrathionate, which is then utilized by the bacterium."
0,123,"  The synthesis of (Mesitylene)molybdenum tricarbonyl involves the reaction of molybdenum hexacarbonyl with hot mesitylene, resulting in pale yellow crystals that are soluble in organic solvents."
0,124,"  Polydioctylfluorene (PFO) can form crystalline and liquid crystalline states, which are characterized by the presence of van der Waals forces. The polymer's crystalline structure can be altered by applying friction transfer, resulting in changes to its properties."
0,125,"  The evolution of barnacles is a complex process that has spanned millions of years. This list provides a snapshot of the diversity of barnacle species that have evolved over time, offering insights into their adaptation to different environments and ecological niches."
0,126,"  A time-frequency representation (TFR) is a way to view a signal as a function of both time and frequency. This allows for the analysis of signals containing multiple time-varying frequencies, providing a bridge between the perfect time resolution and perfect spectral resolution."
0,127,"  A Diophantine equation is a polynomial equation with integer coefficients, where some variables are parameters and others are unknowns. It is a fundamental concept in number theory and computability theory."
0,128,"  The plate's primary function is to attract and capture electrons emitted by the cathode, given a positive potential. It plays a vital role in the operation of a vacuum tube, allowing it to amplify or modify electrical signals."
0,129,"  In 2020, some asteroids passed more than 1 lunar distance from Earth, with distances ranging from 384,400 km to over 1 AU. These asteroids are not considered a threat to Earth, but their orbits are still monitored by astronomers."
0,130,"  Lanreotide is a medication used to manage acromegaly and symptoms caused by neuroendocrine tumors, such as carcinoid syndrome. It is a long-acting analogue of somatostatin and is available in several countries, including the United States, United Kingdom, Australia, and Canada."
0,131," DIC is characterized by the dysregulation of coagulation and fibrinolysis, leading to widespread clotting and bleeding. The release of tissue factor, a transmembrane glycoprotein, plays a major role in the development of DIC. Excess circulating thrombin results in the formation of fibrin clots, which can lead to microvascular and macrovascular thrombosis."
0,132,"  Four-tensors are typically written in tensor index notation, with indices taking integer values from 0 to 3. The indices can be contravariant or covariant, and the number of indices can vary depending on the type of tensor."
0,133,"  A myriagram is a 10,000-sided star polygon, and there are 1999 regular forms of myriagrams given by Schläfli symbols of the form {10000/n}. There are also 3000 regular star figures in the remaining cases."
0,134," In Drosophila, PGC migration takes around 10 hours and involves passive movement along the dorsal side of the embryo, followed by active migration laterally across the epithelium. The process requires multiple genes, including the Columbus gene, to work together."
0,135," There are many methods of analyzing resting state fMRI data, including independent component analysis (ICA), regional analysis, and partial correlation. ICA is a useful statistical approach for detecting resting state networks, while regional analysis provides a more precise and detailed look at specific connectivity in brain areas of interest."
0,136,"  VIAAT is a protein responsible for storing GABA and glycine in neuronal synaptic vesicles, playing a crucial role in neurotransmission and synaptic plasticity."
0,137,"  Neopullulanase is a dimeric enzyme with a highly conserved structure, consisting of four domains, including a TIM barrel active site. Its unique dimeric structure allows it to hydrolyze both alpha-1,4- and alpha-1,6-glucosidic linkages, making it distinct from other alpha-amylase enzymes."
0,138,"  John Haigh's equation calculates the frequency of individuals carrying mutations in an asexual population, showing that the fittest class is small and prone to extinction due to genetic drift, leading to a ""click"" of the ratchet."
0,139,"  RSC plays a crucial role in fixing double-stranded breaks via non-homologous end joining (NHEJ) in yeast, as well as homologous recombination with the help of the SWI/SNF complex."
0,140," Common Gateway Interface (CGI) is an interface specification that enables web servers to execute external programs, typically written in scripting languages, to process user requests. Its purpose is to define a common way for server software to interface with scripts, allowing them to exchange information and generate dynamic content."
0,141," The GMD provides a web-based platform for metabolite analysis, supporting conventional mass spectral and retention index comparison, substructure prediction, and batch processing via Simple Object Access Protocol (SOAP) and Representational State Transfer (ReST) principles."
0,142," The protein core of GPC3 consists of two subunits, with the N-terminal subunit having a size of ~40 kDa and the C-terminal subunit being ~30 kDa. GPC3 interacts with Wnt and frizzled (FZD) to form a complex and triggers downstream signaling, and may serve as a co-receptor or receiver for Wnt."
0,143," The concept of continental drift has a long history, dating back to the 16th century when Abraham Ortelius first proposed that the continents might have moved over time. Other scientists, such as Alexander von Humboldt and Alfred Russel Wallace, also contributed to the idea, but it was not widely accepted until the early 20th century."
0,144,"  The TMEM151B gene is highly expressed in the brain and testes, with notable expression in brain tissues. Within the mouse brain, it has high expression in the cerebellum, medulla, and olfactory bulb."
0,145,"  BZ was invented by Hoffman-LaRoche in 1951 and was initially investigated for use in ulcer treatment. The US military later weaponized it and deployed it in the 1960s, but all stocks were destroyed in 1989 as part of a general downsizing of the US chemical warfare program."
0,146," The setuid bit was invented by Dennis Ritchie and included in the su command. The patent for the setuid bit was granted in 1979 and is now in the public domain. The design of the setuid bit was intended to allow trusted programs to be run with elevated privileges, but its improper use can pose a security risk if not carefully designed."
0,147,"  Trismus can be caused by a variety of conditions, including infections, trauma, and certain medical conditions. A differential diagnosis is necessary to rule out other conditions that may cause similar symptoms. This may involve a physical examination, imaging tests, and laboratory tests."
